id,question
11,Incidents like this have happened recently. Can you provide another example where a victim lost cryptocurrency using a similar method of attack (malicious video chat software)?
11,"What actions were taken by MonoSwap following the discovery of the hack, as mentioned in their announcement?"
12,"When did the dYdX upgrade from v3 to v4, and how was this upgrade related to the compromise?"
12,Was the compromise on the dYdX v3 exchange website connected to any similar events in July 2024?
12,Why did the company behind the dYdX v3 exchange announce a potential sale of their software at the time of the compromise?
12,What platform was the dYdX v3 exchange website temporarily compromised on?
12,"Is it safe to use the dYdX v3 exchange now, given that it was compromised?"
13,Which wallet of WazirX was compromised in the hack?
13,Did WazirX pause withdrawals due to this hack?
13,"What is the total amount stolen in the WazirX hack that occurred on July 18, 2024?"
13,What significant event led to the separation between WazirX and Binance in 2023?
13,"Who is suspected to be behind the WazirX hack, based on evidence observed by blockchain analysts?"
14, Who was the attacker in the LI.FI Protocol hack and what is known about their method of exploitation?
14," What specific smart contracts were affected in the $10 million wallet drain on LI.FI Protocol, and how can I determine if they affect me?"
14, Should I continue using any LI.FI-powered applications at this time?
14, How do I revoke permission from the affected smart contracts mentioned in the LI.FI Protocol warning?
14, What should I do to minimize potential losses if I am a user of projects that build on top of the LI.FI protocol?
15,What is the name of the defi lending project that was hacked for $1.4 million?
15,Which method did the attacker use to manipulate the exchange rate in the Minterest hack?
15,Why did the Minterest protocol pause the supply and borrow portions following the hack?
15,What attempt has Minterest made to retrieve some of the stolen funds?
15,On which date did the Minterest hack occur?
16,"Who was responsible for the hack on Defi platform Dough Finance, and how did they carry it out using a flash loan attack through the Railgun privacy service?"
16,What was the value of the crypto assets misappropriated during the Dough Finance hack in USD and ETH?
16,"Was the response from Dough Finance to the hack appropriate, given their threat to pursue all criminal, legal, and administrative avenues available if the attacker did not return the stolen funds?"
16,"Is it common for DeFi platforms to be exploited through flash loan attacks, and what measures can these platforms take to prevent such attacks in the future?"
16,What legal actions have Dough Finance taken or plan to take as they pursue the hacker who carried out the $1.8 million hack?
17,What were the affected Defi protocol websites in this incident? 
17,What was the method used to compromise these websites to replace them with wallet drainers?
17,Why was the 'Unstoppable Domains' web3 domain service also impacted?
17,"Who do we attribute this attack to, and which company was targeted?"
17,What advice did Bobby Ong give to users amidst this incident?
18,Who is Andreas Szakacs and what role did he play in the OmegaPro cryptocurrency Ponzi scheme?
18,In what year did the OneCoin crypto Ponzi begin operating?
18,What was the alleged modus operandi of the OmegaPro investors and how were victims enticed to invest more and more until they could not withdraw funds?
18,Approximately how much money has been claimed in losses by victims related to the OmegaPro Ponzi scheme?
18,"Who are some of the other people associated with OneCoin that have been arrested, and who remains a subject of interest?"
19,"What was the cryptocurrency token promoted by the hacker who compromised Doja Cat's Twitter account on July 8, 2024?"
19,Which social media platform did the hacked message originated from (Twitter or Instagram)?
19,"How much was the market cap of the promoted token after it reached its peak during the hack?, and what was its subsequent decline?"
19,"Which other celebrities' Twitter accounts have recently been compromised to promote memecoins besides Doja Cat, as per the information in the record?"
19,What tag is associated with this incident as per the provided record?
20,Who was affected by the Bittensor wallet drains?
20,Approximately how much TAO tokens and value were siphoned during the hack?
20,What hypothesis was proposed by blockchain sleuth zachxbt regarding the cause of the attack?
20,How did the malicious Bittensor package make it onto Python's PyPi package manager?
20,What step has Bittensor taken following the attack?
21,What specific wallet was compromised in the Farcana incident and how much FAR was taken?
21,Did the team confirm the exploitation of their smart contracts?
21,In what manner was the market maker allegedly compromised?
21,Who are the investors that contributed to Farcana's seed funding round in November 2023?
21,What is the current worth of the FAR still being held by the exploiter?
22,What is the technique used in this incident to defraud the victim from their assets?
22,"Which cryptocurrencies were affected in the $11 million loss reported on June 23, 2024?"
22,How does a permit phishing attack work as described in this record?
22,What type of transaction did the scammer make the victim sign to drain assets from their wallets?
22,Which tags are associated with this incident?
23,Who observed the alleged $3.5 million theft from Sportsbet.io and when was it observed?
23,What cryptocurrencies were affected in the alleged theft at Sportsbet.io?
23,Does SportsBet have confirmed or disclosed any information about the theft yet?
23,"Who is suspected to be behind the theft at Sportsbet.io, considering the similarities with a previous hack on BtcTurk?"
23,When and against which cryptocurrency exchange was $55 million allegedly stolen?
24,Why did CoinStats promise military-grade encryption if their wallets are affected by a breach?
24,What type of access was requested by CoinStats to track the users' holdings (read/write or read-only)?
24,"How were 1,500 user wallets impacted in the CoinStats breach despite their promise of 'ultimate security' for digital assets?"
24,What precautions can I take to ensure my wallet is not vulnerable if I am using a similar read-only access application like CoinStats?
24,"Despite being marketed as offering read-only access, what could be the possible reasons for nearly $2.2 million worth of losses in the CoinStats breach?"
25,"Who performed the hack on 50 Cent's accounts to promote the memecoin $GUNIT and how did they make $300,000,000 in 30 minutes?"
25,"How was the wallet associated with the hack able to make approximately around $722,000 off the token, while the total volume of the token is only $19.8 million?"
25,Were any other transactions suspicious or large scale related to 50 Cent promoting the memecoin $GUNIT on his Twitter account and website?
25,"Considering 50 Cent's claim that he has no association with this crypto, can you identify any other associations between 50 Cent and the memecoin $GUNIT that might shed light on the hack?"
25,"What steps were taken by 50 Cent, the memecoin $GUNIT team, or authorities to prevent further such exploitations of social media accounts for crypto promotion or monetary gain?"
26,What was the approximate value of the stolen assets in dollars?
26,Who is the newly installed CEO of Binance mentioned in this report?
26,Which cryptocurrencies saw substantial selling that caused significant price movement following the hack?
26,What cryptocurrency exchange was hacked and what were the assets affected?
26,"Did any other entities freeze any part of the stolen assets? If so, which one(s) and how much?"
27,Did CertiK perform the testing of the bug in a manner that exceeded what is considered normal for whitehat security researchers?
27,Is it known if law enforcement is actively investigating the incident between CertiK and Kraken?
27,What steps did Kraken take in response to the alleged misconduct by CertiK?
27,"Did Kraken allege that CertiK had attempted to extort them? If so, what was the nature of this allegation?"
27,What was the amount of cryptocurrency taken by CertiK during the supposed 'testing' period and where did they transfer some of this cryptocurrency?
28,Does any involvement with the Holograph protocol by one of the addresses involved in the exploit suggest potential insider knowledge may have been used during the heist?
28,In what form (currency) did the attacker cash out approximately $1.2 million from the exploit?
28,"What was the total notional value of the HLG tokens minted in the exploit, and how did this contribution to liquidity affect the token price?"
28,"Who was able to exploit the Holograph tokenization project and mint 1 billion HLG tokens on June 13, 2024?"
28,"What is the current token price of HLG after the minting of 1 billion additional tokens, representing an 80% drop?"
29,"Has UwU Lend identified and resolved the vulnerability exploited in the first hack, or did it reoccur due to another vulnerability?"
29,What is the current status of UwU Lend defi lending protocol following these hacks?
29,What was the total loss incurred by the UwU Lend protocol as a result of these hacks?
29,Who is the hacker responsible for both hacks on UwU Lend protocol?
29,"Is there any pattern or similarity in the vulnerabilities found in projects led by Michael Patryn, also known as '0xSifu'?"
30,What type of malware was used in connection with the 'Vortax' software and how did it drain cryptocurrency wallets?
30,How were phishers able to impersonate an Andreessen Horowitz employee using a changed Twitter username?
30,"Who is crypto sleuth zachxbt and how did he first report on this incident involving the draining of $245,000 worth of cryptocurrency?"
30,What can be done to mitigate risks or protect against future similar incidents where a phishing scam impersonates a high-ranking employee?
30,"Why might victims still trust an account even if it differs slightly from the website listing of the associated firm, as was the case with Peter Lauten's account?"
31,Is there a connection between the hack of UwU Lend and the individual's past involvement with QuadrigaCX?
31,"Who was the founder of UwU Lend, whose protocol was hacked for around $20 million on June 10, 2024?"
31,"What was the nature of the situation that led to the pause in the UwU Lend protocol following the $20 million hack on June 10, 2024?"
31,What other projects has the founder of UwU Lend been involved with before founding this defi lending protocol?
31,Can you identify the pseudonym(s) associated with the founder of UwU Lend who was involved in the hacked protocol?
32,What actions has Loopring taken after their wallet recovery service was breached?
32,How can I protect my assets if I use a single Loopring guardian for account recovery operations?
32,Why did the attacker succeed in recovering assets from Loopring wallets?
32,Who is Loopring working with to trace the attackers and recover the stolen funds?
32,Who was able to 'recover' assets from Loopring wallets and steal at least $5 million?
33,What was the alleged method by which NovaTech generated returns for investors and how much money deposited actually went into crypto trading?
33,"Who are Cynthia and Eddy Petion, and what were their alleged fraudulent schemes called?"
33,How were the victims of the AWS Mining and NovaTech schemes primarily targeted and what were the promises made to them?
33,What is the total amount of money deposited into NovaTech from August 2019 to April 2023?
33,"When and where did Cynthia and Eddy Petion move after secretly selling their Florida house, and what comment did Cynthia make to another scheme operator about avoiding arrest?"
34,What was the amount of cryptocurrency the developer lost after his wallet was drained?
34,What is generally bad practice regarding storing sensitive secrets in Github as per the given incident?
34,Which funding grant from which project did the developer apply for that required the private repository to be made public?
34,How long did it take for the attacker to steal the cryptocurrency after the private key became publicly visible?
34,Why did the blockchain developer lose his cryptocurrency despite the repository being set to private on Github?
35,When did the Lykke crypto exchange suffer an exploit and have over $23.6 million stolen?
35,When and how did Lykke first acknowledged the attack and communicate it to its customers?
35,How did outside researchers discover the security breach on the Lykke platform?
35,What were some customer complaints related to their accounts following the exploit?
35,What was the action taken by Lykke two days after the hack was detected?
36,What financial gains saw the Epoch Times in comparison to the previous year as a result of this alleged scam?
36,"How did the banks become suspicious about the revenue increase for Epoch Times, leading to investigation?"
36,What was the alleged method used by Widong 'Bill' Guan and others to launder funds through bank accounts?
36,Who is accused of being involved in a cryptocurrency scam and money laundering operation according to the Justice Department?
36,What evidence led the DOJ to investigate the Epoch Times and Widong 'Bill' Guan for their involvement in this operation?
37,Why did the operators of the Linea layer-2 blockchain choose to halt the chain after the Velocore DEX exploit?
37,"What is the goal of Linea's network in terms of decentralization, as stated by its operators after the Velocore DEX exploit?"
37,What role did Tornado Cash play in the Velocore DEX hack?
37,What was the method used in the Velocore DEX exploit to drained tokens from the pool?
37,"How did this incident impact the cryptocurrency ethos, given that it allowed a single operator to unilaterally control a blockchain?"
38,"How did the hacker gain access to the company wallet at DMM Bitcoin on May 31, 2024?"
38,"Who was involved in the unauthorized leak of bitcoin from DMM Bitcoin exchange on May 31, 2024?"
38,What is the relation of this incident to previous significant cryptocurrency thefts such as the one from Wormhole bridge in February 2022 and FTX in November 2022?
38,"What specific measures has DMM Bitcoin taken offline while investigating the incident on May 31, 2024?"
38,"How are they planning to replace the lost funds with help from other companies in their group, as stated by DMM Bitcoin on May 31, 2024?"
39,Who was accused of hacking the Twitter account of 'Gigantic-Cassocked-Rebirth' and what cryptocurrency were they involved with?
39,"What actions did this team take after hacking the influencer's account, specifically regarding their own memecoin and other tokens like ORDI and ETHFI?"
39,Approximately how much profit did this team make on the compromised influencer's Twitter account?
39,On what centralized exchanges could the accused party have opened positions that aren't publicly visible?
39,"Did the gambit of the accused party seem successful or unsuccessful, given the documented outcomes, and if not, where might they have experienced losses or gains beyond what was reported?"
40,"When was the vulnerability discovered in the Normie memecoin, and why was it never patched?"
40,Who was responsible for the flash loan attack on Normie memecoin and what was the monetary value they were able to cash out?
40,How much did one individual lose due to the flash loan attack on their Normie memecoin holdings?
40,"What was the initial market capitalization of Normie memecoin, and what is its current price after the hack?"
40,Are there any plans for the return of funds from the attacker or a possible relaunch of the Normie memecoin?
41,In what way did Gala Games attempt to prevent the attacker from swapping more of the stolen tokens?
41,Who was the attacker in the Gala Games hack and how were they able to mint $5 billion GALA tokens?
41,Was the administrator wallet access obtained by a rogue employee or through a compromised admin wallet?
41,Has Gala Games made a public statement concerning this hack?
41,What was the total value that the attacker was able to swap into ETH before their address was frozen?
42,Who perpetrated the hack on Pump.fun and how much money was stolen?
42,How has the attacker reacted to statements made by Pump.fun regarding the incident?
42,"What were the motivations behind the former employee's actions, as stated in their Twitter post?"
42,"What has been the response of Pump.fun to the hack and subsequent theft?, and"
42,In what manner did the attacker airdrop the stolen funds to random wallets?
43,How did the Peraire-Bueno brothers exploit a flaw in 'MEV-boost' software?
43,"What is 'frontrunning' in this context, and how did the brothers execute it?"
43,What were the bait transactions used by the Peraire-Bueno brothers for and how did they trick MEV bots?
43,What is MEV (Maximal Extractable Value) and how does it work?
43,How did the brothers create false signatures to trick the MEV-boost relay into releasing block information?
44,"Who does ALEX Lab believe was responsible for the hack, as stated in their announcement?"
44,"Why did the attacker's attempts to steal assets from the project's BNB Chain implementation fail, despite upgrading the contract to a malicious version?"
44,"What assets were successfully stolen by the attacker on the Stack BTC layer-2 chain, and what was their approximate value at the time of theft?"
44,Who was the apparent whitehat hacker who intervened to recover funds?
44,"What attempts by the exploiter to steal assets on the Ethereum blockchain were unsuccessful, and what was the estimated value of those assets?"
45,Which specific vulnerability in the Sonne Finance smart contracts was exploited for this attack?
45,Why was Sonne Finance's contract paused on the Optimism Ethereum layer-2 chain following the hack?
45,Why does the record mention that Radiant Capital and Rari have also had issues with known vulnerabilities in their code?
45,Why does the record suggest that some of the code used by Sonne Finance is reused from Compound Finance project?
45,What is the total amount of funds stolen from Sonne Finance through the hack and exploitation of its smart contracts?
46,How much of the recovered funds were actually given back by the contributor to the redemption fund?
46,When and how much money did this Cypher contributor steal from the recovery fund?
46,What was the identity of the core Cypher contributor who confessed to stealing funds?
46,What was the impact user's response to the theft and redistribution of the recovered funds?
46,Why did the contributor confess to the thefts according to his public statement?
47,In what ways were the fake tokens bridged from Fantom to Ethereum and Polygon?
47,How did the exploiter manage to sell the fraudulent tokens as authentic ones?
47,What wasthe mechanism used by the exploiter to drain $1.27 million from GNUS.ai's liquidity pools?
47,"Where do unused cycles on various computing devices get utilized in the context of the GNUS.ai project, and what role does cryptocurrency play?"
47,How was the exploiter able to create a fake version of the GNUS token on the Fantom blockchain?
48,"By creating a new wallet address with identical start and/or ending character strings to addresses used by the victim, and spamming the victim with transactions from that similar address, what consequence did they aim to achieve?"
48,"Who was the victim in the $72.7 million wallet theft, and what type of Ethereum wallet were they using?"
48,"What is the tactic known as that takes advantage of crypto traders' tendencies to copy and paste wallet addresses, and how does it function?"
48,How did the scammer manage to get the victims to incorrectly copy the spoofed address for future transfers?
48,"What was the agreement between the victim and the exploiter about the stolen funds, and what portion of the total amount did the exploiter retain as a 'bounty'?"
49,In what tokens were the funds stolen during the second attack on Pike Finance's smart contracts?
49,Why did the patching attempt by Pike Finance's team introduce new vulnerabilities in their smart contracts during the second attack?
49,Who are the key backers of Pike Finance?
49,What measures has Pike Finance promised to ensure users are made whole following the exploits?
49,What was the nature of the vulnerability exploited in the first attack on Pike Finance's smart contracts?
50,How long after the initial hack was Rain's 'security incident' acknowledged publicly?
50,What were the suspicious outflows noticed across wallets on multiple blockchains associated with?
50,"Who was responsible for the hack on Rain cryptocurrency exchange in April 29, 2024?"
50,In what way did the Rain Group cover any potential losses resulting from this incident?
50,Were customer funds directly affected by the hack on Rain cryptocurrency exchange?
51,What was the nature of the cryptocurrency scam that Jay Mazini ran?
51,Who were the primary victims of Mazini's cryptocurrency scam and where was it based?
51,How did Jay Mazini use doctored images in his cryptocurrency scam?
51,What was the total amount of money scammed by Mazini's cryptocurrency scam?
51,What other criminal activities was Jay Mazini involved in that contributed to his prison sentence?
52,"Were any steps provided for the person who performed the exploit to get in touch with Hedgey Finance for discussion, and has there been a response from them yet?"
52,"In which blockchain networks did the exploit occur, and what were the respective amounts stolen from each network (Arbitrum layer-2 and Ethereum mainnet)?"
52,"Did Hedgey Finance confirm the exploit, and if so, how did they respond on-chain?"
52,What are some potential strategies or security measures that could have prevented this flash loan attack on Hedgey Finance?
52,Who was the target of the flash loan attack on Hedgey Finance that resulted in a loss of approximately $44.7 million?
53,"Who was responsible for the $2 million hack on the Grand Base platform, and what method did they use to compromise the deployer wallet?"
53,What were the specific assets (gAssets) that were affected by this hack or rug pull?
53,"In total, how many Ethereum (ETH) were taken from the Grand Base project during this incident?"
53,What was the impact of this hack on the value of gAssets and the overall ecosystem of Grand Base?
53,Were any steps taken by the Grand Base team to recover the stolen funds or prevent similar incidents in the future?
54,What is the name of the third-party service exploited in this hack?
54,When did this latest hack occur on FixedFloat exchange?
54,Who or what is being blamed for the exploitation in this latest hack?
54,Who was the target of the recent hack on FixedFloat exchange?
54,How much was stolen in this latest hack on FixedFloat exchange?
55,"What was Solareum's response to the accusations on Twitter after their project closure and website deletion?, Did they address the allegations of theft?"
55,"Has Solareum been accused of any negligence or complicity in the thefts by users?, Specifically, were there criticisms leveled at them for failing to investigate the hack or for being potentially responsible themselves?"
55,"Did Solareum speculate a possible cause for the wallet draining incidents on their platform?, More specifically, did they suggest that compromised Telegram bot tokens might have allowed attackers to obtain private keys from message history?"
55,Did the Solana ecosystem face a spate of drained wallets between approximately March 2024 and the date this record was written?
55,"Were any trading bots identified as potentially involved in the thefts within the Solana ecosystem during that time period?, Specifically, were there connections to the use of Solareum, BonkBot or other trading bots?"
56,How did the attacker take advantage of a flaw in Prisma Finance's smart contracts?
56,"Why did the first attacker, who stole the bulk of the assets, transfer the funds to Tornado Cash?"
56,How did the attacked party respond to the attacker's criticism and demands for an online press conference?
56,What was the total amount of assets stolen in the Prisma Finance hack?
56,What were the demands made by the first attacker apart from returning the funds after the hack?
57,"As of the given date (March 26, 2024), have any details been confirmed regarding the alleged movement of funds and the accusations made towards John Kim?"
57,Who are the co-founders of LENX and what roles do they play in the allegations regarding the $10 million rug pull?
57,"What actions have been taken by the remaining LENX team in response to the stolen funds allegations, specifically towards freezing the receiving account at Binance?"
57,"In what way is the LENX project connected to Frax Finance lending protocol, and does this connection potentially impact the investigation into the $10 million rug pull allegations?"
57,"What was the nature of the massive withdrawals observed from LENX's treasury funds, and where were these funds transferred to?"
58,Who was the perpetrator behind the $62.5 million hack on the Munchables crypto game?
58,"Was the attacker convinced to return the funds, and if so, how did this happen?"
58,What are the arguments for and against the proposal of forcibly rolling back the Blast layer-2 blockchain to 'undo' the hack?
58,"Why does the Munchables crypto game, according to some, prioritize aspects of gaming over other facets of cryptocurrency ideology?"
58,What evidence supports the claim that the theft was planned since deployment?
59,What type of smart contract bug enabled the attacker to mint tokens in this hack?
59,How many CGT governance tokens were minted as a result of this exploit?
59,"What was the estimated loss to the project due to the exploit, and why is it different from the token's notional value?"
59,What measures has Curio DAO announced in response to the theft?
59,What was the name of the cryptocurrency project that experienced a $16 million exploit?
60,"Who was responsible for draining tokens worth approximately $300,000 from holders of the rug-pulled Lucky Star Currency in March 2024?"
60,How did the malicious smart contract manage to drain tokens from those who still held them in the Lucky Star Currency project in March 2024?
60,What measures could have been taken to prevent the subsequent rug-pull of the Lucky Star Currency project in March 2024?
60,Why did the ownership of the Lucky Star Currency project get transferred to a malicious smart contract in March 2024?
60,Is there any ongoing investigation or legal action regarding the second rug-pull of the Lucky Star Currency project in March 2024?
61,"In the exploit of Super Sushi Samurai, how did the attacker take advantage of a vulnerability in its smart contract to drain funds from the project?"
61,What was the name of the blockchain game that was exploited for $4.6 million and on which layer-2 blockchain this occurred?
61,"What action did the attacker take immediately after the theft that led to the return of the stolen funds, and how were they characterized within the project?"
61,"After returning the funds, what was the subsequent destiny of the $SSS token post exploit, as suggested in the summary?"
61,What additional rewards or role did the whitehat hacker receive from the Super Sushi Samurai project team after their intervention?
62,Which exchanges were the stolen tokens transferred through?
62,How much Ether and AirDAO tokens were drained in this exploit?
62,What cryptocurrency was exploited through social engineering in March 2024?
62,Has any action been taken or announced by AirDAO regarding this exploit?
62,What method was used by the attacker to access the AirDAO project's liquidity pool?
63,When did the vulnerability in the smart contract that was exploited originate?
63,Which network was used by contemporary users of the exchange prior to the exploit?
63,What type of bug was discovered which allowed the attacker to drain user funds?
63,How were the stolen funds concealed after the exploit?
63,What was the name of the exploited cryptocurrency exchange?
64,What tokens were stolen from Wilder World and how much was the total value of these tokens?
64,How did the attacker hide the stolen funds? What cryptocurrency tumbler was used?
64,Did Wilder World provide any reason for the contractor's access to the project deployer's private key?
64,"Who was responsible for the theft in Wilder World on March 16, 2024?"
64,"Based on the information provided, what evidence suggests that the thief had 'specialized knowledge of ZERO's internal security systems'"
65,What was written by the real Ansem in his tweet that might have led some followers into thinking he was launching a new memecoin?
65,How did the impersonator convince people to invest money in a fake Solana memecoin?
65,Who impersonated the influential crypto trader Ansem on Twitter?
65,How were the wallets of the victims drained during the scam?
65,"What was the total amount of money lost in this scam, and how much did one individual lose specifically?"
66,What is the suspicion surrounding this hack (inside job or external attack)?
66,"Were any security safeguards implemented by Remilia after the $1 million loss incident in September 2023? If yes, what were they?"
66,"What assets were stolen during the hack of 'Charlotte Fang', the leader of Remilia project?"
66,"How was the private keys stored in the multi-signature model for Remilia's treasury, according to the report?"
66,What is the mechanism of attack suggested by 'Charlotte Fang' for this incident?
67,Is the FBI actively investigating the March 15 security incident at NFPrompt?
67,What centralized exchanges have been contacted by NFPrompt to freeze stolen funds?
67,Are there any specific methods or tools that the hackers used in this attack against NFPrompt?
67,"How much, if any, funds were taken during the security incident at NFPrompt?"
67,What measures has NFPrompt taken to address this security breach?
68,Who perpetrated the exploit on Mozaic Fi and what method did they use to gain access to the private key?
68,Why were around 90% of the stolen funds moved to the MEXC exchange and how did it help the situation?
68,Was any action taken against the rogue developer responsible for the attack?
68,Is there any potential recovery or mitigation plan for Mozaic Fi in response to this exploit?
68,What was the significance of a simultaneous large sale of the Mozaic token during the incident?
69,On what date did this exploit happen on the MOBOX lending platform?
69,Which token was used for the drained funds in the reported hack on the MOBOX platform?
69,"What was the name of the decentralized lending platform that experienced a hack on March 14, 2024?"
69,What specific functions or features within the MOBOX platform were involved in this exploit?
69,"How did the attacker exploit the MOBOX platform to drain approximately $750,000 in USDT?"
70,Which crypto exchange were the seized funds stored in?
70,In which district was the action filed?
70,Who filed the civil forfeiture action to seize the cryptocurrency?
70,"How many American victims have been identified, and from how many of these victims were funds transferred?"
70,What is the approximate total value of the seized cryptocurrency?
71,How did the attacker gain access to increase allowance permissions on the victim's ETH wallet?
71,What was the name of the liquid staking protocol that the victim was using?
71,What was the value (in USD) of the victim's remaining balance in their wallet after the phishing scam?
71,What type of transaction allowed the attacker to siphon funds from the wallet?
71,How much Ether (ETH) did the attacker manage to siphon from the victim's wallet?
72,What is the deadline for the threatened release of the stolen data by Incognito Market?
72,Approximately how much money did Incognito Market supposedly exit scam from its users?
72,What was the timeframe in which this incident occurred?
72,What is the nature of the incident involving Incognito Market (double scam and extortion)?
72,"Did Incognito Market keep their promise to 'auto-encrypt' messages between buyers and sellers, and auto-delete them after an expiry date as claimed?"
73,What type of cryptocurrency tokens were drained from the account of the victim with the largest loss in the February 2024 Twitter phishing incidents?
73,What was the total amount of money stolen via Twitter phishing in February 2024?
73,What happened to the tokens drained from the account of the victim with the largest loss in the February 2024 Twitter phishing incidents?
73,Who was the victim with the largest individual loss in the February 2024 Twitter phishing incidents?
73,How many victims were there who lost money due to Twitter phishing in February 2024?
74,"Despite legal issues in the past, what average returns has Luc Schiltz's company, Crypto4Winners, claimed to have earned since its inception in 2019?"
74,"Why did Crypto4Winners pause withdrawals, and when were they last re-enabled?"
74,What specific information or data suggests that there has been tampering with the assets and historical data of Crypto4Winners with a high degree of sophistication?
74,Who is the suspect alleged to have committed fraudulent acts at Crypto4Winners?
74,Has Crypto4Winners officially disclosed the amount that was allegedly stolen in this incident?
75,Why did the project team offer a 'bounty' following the hack?
75,What was the nature of the hack on the Unizen platform?
75,How did the attacker exploit a vulnerability to initiate the hack?
75,What is the status of the remaining funds at the time this information was published?
75,Which cryptocurrency was affected in the $2.1 million loss?
76,"What type of attack was used in the WOOFi hack on March 5, 2024?"
76,What was the offer made by the WOOFi project team to the attacker who exploited their system?
76,Why did the blockchain security firms take fifteen minutes to pause the project's smart contract after detecting the attack?
